order_id,order_date,region,category,product,quantity,sales_inr,profit_inr
PE00928,2026-05-07,Nellore,,Whey Protein 1kg,3,2898.42,394.66
PE00690,2026-04-09,Hyderabad,Personal Care,Antiseptic Liquid,5,2520.4,435.28
PE01937,2026-06-04,Warangal,OTC Medicines,Cough Syrup 100ml,1,115.67,24.63
PE01348,2026-05-21,Vijayawada,Personal Care,Hand Sanitizer 500ml,2,208.16,36.31
PE01028,2026-05-22,Warangal,OTC Medicines,Cetirizine 10mg,2,391.48,51.69
PE00495,2026-04-29,Hyderabad,OTC Medicines,Cetirizine 10mg,3,427.38,36.77
PE00814,2026-05-12,Vijayawada,Prescription Medicines,Azithromycin 500mg,5,2791.25,398.34
PE00524,2026-04-08,Guntur,,Cetirizine 10mg,5,311.25,33.76
PE01626,2026-06-16,Warangal,OTC Medicines,ORS Sachet,3,299.49,36.88
PE00427,2026-04-07,Hyderabad,OTC Medicines,Cetirizine 10mg,5,324.95,40.94
PE00349,2026-04-18,Hyderabad,,Hand Sanitizer 500ml,4,985.4,158.9
PE01668,2026-06-10,Karimnagar,Prescription Medicines,Azithromycin 500mg,5,1809.4,327.38
PE00905,2026-05-24,Bengaluru,Personal Care,Antiseptic Liquid,5,2378.65,291.03
PE01817,2026-06-14,Hyderabad,OTC Medicines,ORS Sachet,4,668.88,113.32
PE01870,2026-06-09,Visakhapatnam,OTC Medicines,Cetirizine 10mg,3,505.77,107.31
PE00406,2026-04-23,Karimnagar,Medical Devices,Glucometer Kit,3,2141.31,220.64
PE00577,2026-04-03,Visakhapatnam,Prescription Medicines,Atorvastatin 10mg,3,856.68,168.46
PE00018,2026-04-24,Bengaluru,Prescription Medicines,Amlodipine 5mg,4,687.84,143.28
PE01935,2026-06-20,Guntur,Medical Devices,Digital BP Monitor,3,7632.78,1528.47
PE01412,2026-06-21,Hyderabad,Prescription Medicines,Azithromycin 500mg,4,1036.48,161.71
PE02086,2026-06-06,Hyderabad,Lab Tests,Full Body Checkup,1,1468.96,247.55
PE01446,2026-06-22,Hyderabad,OTC Medicines,Antacid Tablets,2,83.18,11.2
PE01886,2026-06-19,Vijayawada,Prescription Medicines,Azithromycin 500mg,1,473.36,82.57
PE00509,2026-04-19,Guntur,OTC Medicines,Cough Syrup 100ml,3,169.74,14.09
PE01601,2026-06-19,Vijayawada,Medical Devices,Glucometer Kit,3,7978.8,1221.23
PE00278,2026-04-28,Karimnagar,OTC Medicines,Paracetamol 500mg,4,172.16,15.88
PE01675,2026-06-16,Guntur,Wellness & Nutrition,Multivitamin Tablets,5,3989.8,693.3
PE01650,2026-06-09,Guntur,Personal Care,Hand Sanitizer 500ml,5,633.65,78.92
PE01783,2026-06-09,Vijayawada,Wellness & Nutrition,Whey Protein 1kg,2,704.14,95.74
PE01516,2026-06-21,Hyderabad,Lab Tests,HbA1c Test,3,4416.03,885.61
PE01252,2026-05-03,Vijayawada,Wellness & Nutrition,Immunity Booster Syrup,1,901.53,109.02
PE01807,2026-06-09,Bengaluru,Wellness & Nutrition,Multivitamin Tablets,4,3056.8,323.52
PE01069,2026-05-28,Vijayawada,Personal Care,Hand Sanitizer 500ml,1,337.96,43.92
PE01656,2026-06-25,Hyderabad,OTC Medicines,Paracetamol 500mg,1,120.57,18.23
PE00569,2026-04-18,Warangal,Medical Devices,Thermometer,1,427.23,78.8
PE01052,2026-05-06,Warangal,Personal Care,Sunscreen SPF50,3,1565.88,319.88
PE01379,2026-05-27,Hyderabad,Prescription Medicines,Azithromycin 500mg,4,2470.88,270.08
PE01297,2026-05-11,Hyderabad,Prescription Medicines,Amlodipine 5mg,5,926.9,155.17
PE01956,2026-06-29,Hyderabad,,ORS Sachet,4,339.0,34.23
PE00231,2026-04-16,Tirupati,Medical Devices,Pulse Oximeter,1,2743.26,599.65
PE01938,2026-06-22,Karimnagar,Wellness & Nutrition,Fish Oil Capsules,2,1093.74,127.39
PE01371,2026-05-26,Tirupati,OTC Medicines,Paracetamol 500mg,2,211.06,33.38
PE00677,2026-04-09,Bengaluru,Prescription Medicines,Insulin Pen,4,1095.84,123.53
